"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 07월 31일","2,024.55","2,036.46","2,041.16","2,010.95","589.39M","-0.69%"
"2019년 07월 30일","2,038.68","2,035.32","2,044.59","2,032.61","547.03M","0.45%"
"2019년 07월 29일","2,029.48","2,059.13","2,063.13","2,025.01","608.67M","-1.78%"
"2019년 07월 26일","2,066.26","2,063.35","2,068.16","2,054.64","589.07M","-0.40%"
"2019년 07월 25일","2,074.48","2,085.67","2,088.81","2,061.08","598.63M","-0.38%"
"2019년 07월 24일","2,082.30","2,097.16","2,105.68","2,080.66","851.39M","-0.91%"
"2019년 07월 23일","2,101.45","2,095.76","2,106.39","2,095.38","648.12M","0.39%"
"2019년 07월 22일","2,093.34","2,090.35","2,099.34","2,087.51","332.63M","-0.05%"
"2019년 07월 19일","2,094.36","2,080.21","2,096.73","2,076.51","394.90M","1.35%"
"2019년 07월 18일","2,066.55","2,068.66","2,073.20","2,061.33","446.64M","-0.31%"
"2019년 07월 17일","2,072.92","2,079.91","2,080.01","2,063.49","761.63M","-0.91%"
"2019년 07월 16일","2,091.87","2,084.46","2,096.67","2,078.74","682.80M","0.45%"
"2019년 07월 15일","2,082.48","2,083.39","2,088.34","2,073.10","463.52M","-0.20%"
"2019년 07월 12일","2,086.66","2,083.53","2,090.43","2,077.35","403.94M","0.29%"
"2019년 07월 11일","2,080.58","2,070.59","2,088.24","2,070.21","376.68M","1.06%"
"2019년 07월 10일","2,058.78","2,061.55","2,068.20","2,056.48","355.68M","0.33%"
"2019년 07월 09일","2,052.03","2,070.35","2,075.30","2,052.03","440.12M","-0.59%"
"2019년 07월 08일","2,064.17","2,091.91","2,092.54","2,063.78","515.95M","-2.20%"
"2019년 07월 05일","2,110.59","2,111.00","2,115.43","2,096.23","459.39M","0.09%"
"2019년 07월 04일","2,108.73","2,102.36","2,108.80","2,088.97","446.93M","0.61%"
"2019년 07월 03일","2,096.02","2,120.75","2,127.71","2,093.32","522.71M","-1.23%"
"2019년 07월 02일","2,122.02","2,122.07","2,130.86","2,112.52","460.83M","-0.36%"
"2019년 07월 01일","2,129.74","2,147.24","2,147.24","2,126.87","412.29M","-0.04%"
"2019년 06월 28일","2,130.62","2,135.06","2,139.24","2,123.97","537.27M","-0.17%"
"2019년 06월 27일","2,134.32","2,120.73","2,141.27","2,118.22","644.90M","0.59%"
