word,counts
대북제재위,40
손정의,40
글로스퍼,40
김우람의,40
종부세,39
후폭풍,39
증권,39
이더리움은,39
긍정적,39
부양책,39
여야,39
오늘은,39
넘는,39
상승한,39
인가,39
발견,39
당정,39
받는다,39
늘었다,39
수법,39
시선,39
스테이킹,39
세율,39
블룸버그,39
상,39
가격은,39
보고,39
8000만원,39
SR경제,39
암,39
6개월,39
英,39
본회의,39
연계,39
가능성은,39
3만,39
블록,39
일정,39
후퇴,39
외신,39
EU,39
협박,39
포인트,39
곰,39
취소,39
디앱,39
유니버셜그룹,39
새해,39
법정,39
환전상,39
적색수배,39
까지,38
유예,38
Is,38
리포트,38
혼란,38
4%,38
논쟁,38
4명,38
달성,38
동학개미,38
국채금리,38
중국인,38
환불,38
움직임,38
인재,38
文정부,38
돈의,38
사기로,38
전문가들,38
몸값,38
진단,38
10조,38
아이템,38
국민은행,38
급상승,38
목적,38
포스텍,38
알,38
기술검증,38
접목,38
시범,38
열린다,38
비탈릭,38
소행,38
지역,38
없었다,38
창업,38
범죄수익은닉,38
공식입장,38
금감원장,38
9%,37
암호화폐에,37
산,37
비,37
꿈,37
한국은,37
사람,37
절반,37
S,37
실제,37
따라,37
분노,37
그리고,37
2%,37
SK,37
톡톡,37
1%,37
코핀홀딩스,37
훨씬,37
빗썸코리아,37
가상화폐와,37
사,37
시중은행,37
70%,37
지금은,37
사기혐의,37
특집,37
블록체인에,37
3가지,37
모색,37
탄,37
필요성,37
교육,37
6명,37
할까,37
5명,37
고도화,37
이달,37
먹통,37
테라,37
비트코,37
거래사이트,37
150조,37
4만달러,37
도피성,37
803억,37
라이트코인,36
불안,36
대선,36
2030세대,36
KISA,36
행보,36
여파,36
트윗에,36
논란에,36
원칙,36
쓴,36
상위,36
현실,36
결제수단,36
해명,36
파악,36
10만,36
도피,36
거래소도,36
한화투자증권,36
전시관,36
넘어선,36
가상자산사업자,36
60%,36
마이닝,36
업데이트,36
델리오,36
면세점,36
1년만에,36
컨설팅,36
출원,36
오바마,36
피습,36
미스터리,36
청문회,35
안팎,35
재단,35
전체,35
100%,35
반발,35
주요뉴스,35
머스크가,35
윤석열,35
급부상,35
제안,35
다날핀테크,35
②,35
게,35
토론회,35
100억,35
있었다,35
경영진,35
위메이드,35
신사업,35
지난주,35
영국,35
뛰어,35
P,35
세,35
탄생,35
기,35
만드는,35
기업에,35
IMF,35
강세장,35
등극,35
마무리,35
민간,35
신고제,35
상장폐지,35
방식,35
넘을까,35
2조달러,35
점유율,35
대표이사,35
2년간,35
열려,35
브레이브,35
디센터,35
원희룡,35
8월,35
김병건,35
비정상적,35
한국당,35
PC안심2,35
사무엘,35
B,34
장관,34
가상자산은,34
동시,34
6500만원대,34
여당,34
이직,34
게임스톱,34
6배,34
사실무근,34
기타소득세,34
게임빌,34
베팅,34
전국,34
순익,34
원인,34
급락세,34
지닥,34
받는,34
꿈꾸는,34
동안,34
확,34
前,34
산다,34
허가,34
최소,34
관련株,34
12억,34
수백억,34
활용한,34
발령,34
3만달러,34
대기업,34
꿀꺽,34
이익,34
동참,34
1호,34
바람,34
메신저,34
해킹그룹,34
팀,34
피르마체인,34
1천만,34
화제의,34
FBI,34
프리세일,34
인프라웨어,34
캠페인,34
9천달러,34
아소비코인,34
전남,33
지정,33
MS,33
반전,33
투자는,33
투자하면,33
전날,33
밑으로,33
할인,33
정체,33
정부는,33
합의,33
마디에,33
어렵다,33
철회,33
가상화페,33
가파른,33
안간힘,33
포스트,33
역대급,33
투표,33
에너지,33
많은,33
거,33
500달러,33
시사,33
최악의,33
그래픽카드,33
하락에,33
적,33
줄,33
격상,33
13%,33
방문자,33
이더리움도,33
희비,33
고점,33
등에,33
변호사의,33
대로,33
가속,33
탑재,33
비트메인,33
31일,33
벤처,33
언택트,33
워런,33
리워드,33
10월부터,33
UDC,33
상품권,33
협회,33
콘퍼런스,33
과세방안,33
채널,32
시세조작,32
암호자산,32
방침,32
묻지마,32
하나,32
원인은,32
한달,32
코린이,32
오르는,32
시장은,32
협조,32
타고,32
샀다,32
주도권,32
6500만원,32
김프,32
스퀘어,32
의심거래,32
코인거래소,32
않은,32
기업가치,32
예금,32
조만간,32
도지코인도,32
다음달,32
판결,32
어쩌나,32
상승장,32
250만원,32
파생상품,32
홍보,32
기관투자자,32
7천만원,32
금융시장,32
이주의,32
인도네시아,32
3분기,32
에어드랍,32
인프라,32
표준,32
미끼로,32
정찰총국,32
내리고,32
큐브,32
父,32
10여명,32
20곳,32
PD수첩,32
알파콘,32
인양,32
바이너리즈,32
지닉스,32
가속화,31
불안한,31
공직자,31
상대,31
않을,31
오프라인,31
1조원,31
민심,31
인플레,31
약보합,31
고민,31
상황,31
예정대로,31
낸,31
땐,31
해야,31
알트코인도,31
우려에,31
찍은,31
세금폭탄,31
이미,31
머스크의,31
유입,31
올랐다,31
양성,31
제대로,31
찾는,31
급락에,31
노력,31
바닥,31
프랑스,31
수상한,31
사전,31
보다,31
부부,31
불확실성,31
2022년부터,31
11%,31
유사,31
판매한,31
金,31
데뷔,31
캐나다,31
모멘텀,31
덕에,31
휴대폰,31
